,Average Daily Returns,Beta Alpha,Sharpe Ratio,Piotroski F-Score,Revenue Growth,Earning per Share,Price to Earning,Debt to Equity,Free Cash Flow,Return on Equity,Dividend Yield
SMAR.JK,0.00039954268247135554,"{'beta': array([0.063]), 'alpha': array([0.])}",0.33,"{'net_income': 1538742000000.0, 'roa': 0.04393120789594729, 'op_revenue_v_net_income_margin': 38895604000000.0, 'lt_debt_decreased_percent': 29.102772175306907, 'current_ratio': 0.6424478998860594}",-29.067819769317488,535.7382435407949,7.093016124600486,1.2683571934033404,,12.29452554989474,75.28947368421053
SMBR.JK,0.00023513200301263662,"{'beta': array([0.043]), 'alpha': array([0.])}",0.11,"{'net_income': 10984574000.0, 'roa': 0.0021111159365535723, 'op_revenue_v_net_income_margin': 1710922576000.0, 'lt_debt_decreased_percent': 24.434305984886436, 'current_ratio': 0.43363360645762616}",-1.6943857679318781,1.1059190731453927,260.41688491806786,0.3141001155026024,,0.37274534655706165,0.2153017361111111
SMCB.JK,0.0004477390384115579,"{'beta': array([0.076]), 'alpha': array([0.])}",0.32,"{'net_income': 650988000000.0, 'roa': 0.0313891260662615, 'op_revenue_v_net_income_margin': 9457232000000.0, 'current_ratio': 0.6337619466515816, 'percent_shares_outstanding': 6.8410243568684335}",-9.894304611416057,72.1765820695941,17.803558483290015,0.38392446223541127,,8.57068941342358,2.263501945525292
SMDM.JK,0.001546915595677835,"{'beta': array([0.09]), 'alpha': array([0.001])}",0.61,"{'op_revenue_v_net_income_margin': 387359525973.0, 'current_ratio': 0.17299210335627976}",-31.83323445514432,-0.17149038785792278,-1055.452741467678,0.04681646207626879,,-0.04587326372796987,0.0
SMDR.JK,0.0031172736648160753,"{'beta': array([-0.021]), 'alpha': array([0.003])}",1.35,"{'op_revenue_v_net_income_margin': 494181153.0, 'lt_debt_decreased_percent': 7.87478522735881, 'current_ratio': 0.5789028640090275}",-27.058039642432817,-0.0002040519415399345,-1509419.600105702,2.292099259459808,,-1.9783805281306848,890.2597402597403
SMGA.JK,-0.048334513021510206,,-13.2,{},,,0.0,0.0,,,0.0
SMGR.JK,-0.00027296234547465883,"{'beta': array([-0.048]), 'alpha': array([-0.])}",-0.2,"{'net_income': 2792321000000.0, 'roa': 0.03356237542136703, 'op_revenue_v_net_income_margin': 32379347000000.0, 'current_ratio': 0.5343139023068536, 'percent_shares_outstanding': 0.07999830494126614}",-4.1704006514468945,413.58281330740095,14.08424096112159,0.43286970829714666,,7.641400001882764,87.89733905579399
SMIL.JK,1.2528767043702022e-05,,0.0,{},,,0.0,0.0,,,0.0
SMKL.JK,0.0006089808994860579,"{'beta': array([-0.056]), 'alpha': array([0.001])}",0.29,{},,,0.0,0.0,,,6.701030927835052
SMKM.JK,-0.0022927146358471652,,-0.82,{},,,0.0,0.0,,,0.0
SMLE.JK,-0.026285415739015196,,-3.32,{},,,0.0,0.0,,,0.0
SMMA.JK,0.0006891785439335573,"{'beta': array([-0.101]), 'alpha': array([0.001])}",0.5,"{'operating_cashflow': 2694104000000.0, 'op_revenue_v_net_income_margin': 33677027000000.0, 'lt_debt_decreased_percent': 4.085711485588053, 'current_ratio': 0.7875860480714103}",-6.394704543956507,-141.8083299409015,-102.77957582656899,0.5180708855324604,3363493000000.0,-0.09836882251682016,0.06174957118353345
SMMT.JK,0.0034601015209875206,"{'beta': array([0.174]), 'alpha': array([0.003])}",1.22,"{'op_revenue_v_net_income_margin': 225974770290.0, 'current_ratio': 0.3597565711654546}",-58.79272024551911,-5.247317355029644,-157.22319505017614,0.0,,-2.8655262724138972,0.0
SMRA.JK,0.0003286135856382076,"{'beta': array([-0.053]), 'alpha': array([0.])}",0.2,"{'net_income': 179835308000.0, 'roa': 0.007215771333030069, 'op_revenue_v_net_income_margin': 4850148791000.0, 'current_ratio': 0.6354428302379207, 'percent_shares_outstanding': 4.221600141060391}",-9.661223493739492,10.893431575912064,49.11216417634739,0.9477097426604324,,2.6269260814251334,43.00000000000001
SMRU.JK,0.0,"{'beta': array([0.]), 'alpha': array([0.])}",,"{'op_revenue_v_net_income_margin': 814476803508.0, 'current_ratio': 0.6529524465629118}",-9.135387493442176,,0.0,0.0,,-71.9868645370056,
SMSM.JK,0.0010170406261043267,"{'beta': array([0.176]), 'alpha': array([0.001])}",0.75,"{'net_income': 487742000000.0, 'roa': 0.14449362854855807, 'op_revenue_v_net_income_margin': 2745951000000.0, 'current_ratio': 0.21537858099745047}",-22.321724765555807,84.6968393068207,22.905223097785306,0.13633935883745726,,21.445571763050573,56.90721649484536
SNLK.JK,0.0025198100825496693,,0.77,{},,,0.0,0.0,,,0.0
SOCI.JK,0.00074102036289971,"{'beta': array([-0.043]), 'alpha': array([0.001])}",0.4,"{'net_income': 27260760.0, 'roa': 0.04133190638424696, 'op_revenue_v_net_income_margin': 102705820.0, 'current_ratio': 0.4527800743603642}",0.9361932658449005,0.003861844558928199,42725.69687418839,0.5907172233890677,,7.558996377384047,9.393939393939393
