,Average Daily Returns,beta,alpha,Sharpe Ratio,net_income,operating_cashflow,roa,op_revenue_v_net_income_margin,current_ratio,Revenue Growth,Earning per Share,Price to Earning,Debt to Equity,Free Cash Flow,Return on Equity,Dividend Yield,lt_debt_decreased_percent,percent_shares_outstanding,gross_margin
BBRI.JK,0.0010088724125456605,[-0.013],[0.001],0.91,18654753000000.0,29804584000000.0,0.011586332858798556,105487029000000.0,0.8574797707092315,-16.011575947356917,123.71264530913241,48.903650753585424,0.7651531417484786,34179650000000.0,8.22099314605118,27.39566069421488,,5.558729144722316,
BBRM.JK,0.0003357297385936013,[-0.066],[0.],0.19,,,,22520869.0,0.8067632058359259,50.27291912163224,-0.0031224974078395006,-21777.4400162113,0.12576321201948548,,-155.3673694442629,67.07352941176471,,26.225963130755208,
BBSI.JK,0.0030628855975693985,,,1.18,35175588135.0,,0.02440657201996946,27305418959.0,0.299917710448508,-42.146753872842865,9.572317927624418,480.5523630514842,0.0,-462176656962.0,3.486243315140216,0.0,,21.73913033337565,
BBSS.JK,5.394907204486437e-05,[-0.081],[0.],0.02,,,,,,,,0.0,0.0,,,0.0,,,
BBTN.JK,0.0003616101906407109,[-0.019],[0.],0.27,1602358000000.0,26658603000000.0,0.0044361038485909434,9460995000000.0,0.9446639539169529,-25.885132923516142,114.1735999238698,13.619610847313773,2.5682469396551753,27456689000000.0,8.016662126407324,28.399107974276532,,2.6564941755135836,
BBYB.JK,0.0017611287660151307,[0.195],[0.002],0.52,15871502695.0,,0.0029276061582983156,225519328597.0,0.7932941846020366,-44.89007703080017,1.3183624770532618,210.86765198397617,0.3164402137039842,-127039396531.0,1.4163153332971787,0.9643251798561151,90.23498960778899,24.634413624797595,
BCAP.JK,-0.0004004222626713481,[0.103],[-0.],-0.14,62078000000.0,,0.003249894013814379,2253440000000.0,0.7333287054356752,-8.193384344982434,1.456583799695435,34.326895582976256,0.5198125520035046,,1.3476239330785906,18.907572,,6.1588264862881354,
BCIC.JK,-0.002105927280672162,[0.092],[-0.002],-0.62,,,,489563000000.0,0.9109387106671633,-96.41810667356658,-1708780.5686752428,-6.086211530403083e-05,0.00022449644200855026,-1524917000000.0,-33.56644471082225,0.0,,5.247412313740008,
BCIP.JK,0.0006865225342369233,[-0.029],[0.001],0.31,11329044491.0,,0.01245957029688879,61826183652.0,0.5088425567292723,21.09883975987568,7.922851971438962,6.31085878926486,0.06398385303001089,,2.5969994803038237,0.0,,,
BDKR.JK,0.00400038935073079,,,2.31,28378533177.0,,0.034062280136086746,384955189246.0,0.3959204928398614,-13.369166260596185,6.005911617703505,84.91633451559349,0.4151706077333411,,5.638708105861469,0.0,24.641117083678456,,
BDMN.JK,0.00022171860421264146,[-0.044],[0.],0.18,1007614000000.0,17295525000000.0,0.005015748215088463,16673258000000.0,0.7830878378716065,0.8915623834319119,44982.767857142855,0.06624759084331898,0.3651841815993774,17572565000000.0,2.33742778832227,80.23528607382549,,,
BEBS.JK,0.00261191387064434,,,0.68,20790688599.0,,0.05108290579548435,89906599793.0,0.06666903848200663,-75.90400181084844,0.4620153074567075,108.22152251889442,0.0,,5.604081585047522,1.468,,,
BEEF.JK,0.0006552074305567901,[-0.114],[0.001],0.3,,,,1078779795486.0,0.9893048569559816,411.5661936861774,-49.88294843538206,-5.212201927815108,0.08415991984950975,,-4965.8455045447645,0.0,,,
BEER.JK,-0.00014132888281988227,,,-0.12,,,,,,,,0.0,0.0,,,0.4730769230769231,,,
BEKS.JK,-0.00041873778401583026,[-0.08],[-0.],-0.21,,,,362110000000.0,0.7448923899641035,-43.63501499179891,-286.52266870195285,-0.11866425841289209,0.11301788202978744,-1926662000000.0,-22.63236634471251,31.634,42.8525641025641,80.44726790240381,
BELI.JK,0.00023405000776684665,,,0.44,,,,6711922000000.0,0.7125328133504288,-51.46844407415122,-19.585033946834645,-24.304272399636645,0.597405861898872,,-94.18413717922047,0.0,,,
BELL.JK,0.00035667809563233216,[0.008],[0.],0.12,,,,,,,,0.0,0.0,,,4.3446,,,
BESS.JK,0.0006971994331593677,[-0.107],[0.001],0.26,,,,,,,,0.0,0.0,,,0.0,,,
BEST.JK,0.00045547284498837973,[0.112],[0.],0.3,,,,357498266468.0,0.306505553114821,5.432115993196679,-11.9388272714605,-10.721321038455857,0.3329502676131434,,-2.643950162437862,29.281250000000004,,,
BFIN.JK,0.0021692798526595836,[0.105],[0.002],1.14,701595000000.0,,0.0461559533676817,3655877000000.0,0.5653997876784699,13.094169961320636,46.65046497770056,28.72425817492998,2.026389806201797,,10.620331055153152,24.547856343283584,,,
BGTG.JK,0.0016386514618035985,[0.036],[0.002],0.51,3198000000.0,990312000000.0,0.0005960350807088904,215389000000.0,0.7876927888328596,-2.0619295753822993,0.1334112034253229,517.1979431144465,0.016173818072643478,992851000000.0,0.28074179743223965,0.0,,,
BHAT.JK,-4.169945347708085e-05,[0.06],[-0.],-0.04,11524962822.0,,0.017682675942853457,65576062578.0,0.20289606262818832,-25.492198718831943,2.3049925644,178.7424421072896,0.4815240220446851,,2.233040379574323,0.0,,,
BHIT.JK,0.0006079426423596473,[0.086],[0.001],0.27,150954000000.0,,0.0024829971835712023,14981488000000.0,0.4787255875578737,-15.32848226485106,1.8069084114264415,27.671574100719425,0.897117084328873,,1.0461102362379338,51.0,,9.350497606366773,
BIKA.JK,-0.00023271168089205924,[-0.193],[-0.],-0.07,,,,,,,,0.0,0.0,,,0.0,,,
BIKE.JK,0.0020717583037269784,,,1.02,,,,,,,,0.0,0.0,,,2.086956521739131,,,
BIMA.JK,0.0021789138036787652,[-0.328],[0.002],0.59,,,,,,,,0.0,0.0,,,0.0,,,
BINA.JK,0.0021706537757826493,[0.052],[0.002],1.09,19376000000.0,2269456000000.0,0.0022963644648976585,229890000000.0,0.8557490591317405,-23.615826826667323,3.1584163580407907,1329.7803468208092,0.05631297671269792,2305722000000.0,1.5919233878653634,0.0,,0.30046435063026566,
BINO.JK,-0.00041240561222515856,,,-0.47,,,,,,,,0.0,0.0,,,1.3783969230769233,,,
BIPI.JK,0.0012122012753250579,[-0.074],[0.001],0.6,20311234.0,,0.01511606270372727,58200665.0,0.7130523927175988,19.70787867370111,0.00033818577321239967,242470.28259376067,2.7935903151490105,,6.719360743706463,1.2195121951219512,,0.5443234842692466,
BIPP.JK,0.00021167078579553475,[-0.05],[0.],0.16,50364822926.0,,0.023608533085424988,479474581743.0,0.4572393610994256,80.22278368344821,30.743625363018392,1.2035015247260794,0.7178635584531693,,6.233977844309382,0.0,3.6574274378592904,,
BIRD.JK,0.0009391599161653262,[0.012],[0.001],0.51,,,,2208013000000.0,0.27816893543931615,-7.8430198289746995,-64.48703171879022,-27.137239121677318,0.16942586383437178,,-3.140111566761014,26.390285714285717,,,
BISI.JK,0.0008915836666658505,[-0.037],[0.001],0.73,275453000000.0,,0.09449570648707932,1537309000000.0,0.15663646290419245,-10.042786151618401,91.81766666666667,22.217946437323246,0.0001517566750560035,,11.206925312118319,29.215686274509807,,,
BJBR.JK,0.0006446874851856466,[-0.015],[0.001],0.58,1687218000000.0,,0.011971688705753207,6341220000000.0,0.914812608528636,-16.228645756760585,543.0848540714377,2.228012788294103,2.557433460694924,-981322000000.0,14.107735391475446,89.53707809917356,5.830179615202943,,
BJTM.JK,0.00046845610444755305,[0.051],[0.],0.43,1488962000000.0,,0.017806407054664745,3066663000000.0,0.8803514282777171,-10.163129656751916,483.21743849947364,1.2416770426646213,1.031487738164756,-197622000000.0,14.88225625960275,92.53333333333335,,,
