,Average Daily Returns,Beta Alpha,Sharpe Ratio,Piotroski F-Score,Revenue Growth,Earning per Share,Price to Earning,Debt to Equity,Free Cash Flow,Return on Equity,Dividend Yield
BAJA.JK,0.0017620485747649435,"{'beta': array([0.151]), 'alpha': array([0.002])}",0.62,,-12.334202063361714,30.621400126111112,3.65757279349538,2.720057290564111,,42.54447365987931,2.8125
BALI.JK,0.0007983330578403055,"{'beta': array([-0.02]), 'alpha': array([0.001])}",0.38,,-17.71933352041532,21.45017247428786,49.88304878585941,1.1963265685145366,,3.871656008660726,9.39158878504673
BANK.JK,0.003923827226202029,,1.33,5,-25.578909868186678,3.06854791014538,322.6281710403851,0.05147409757451573,20486000000.0,6.996697199636973,0.0
BAPA.JK,0.0011413794762418716,"{'beta': array([-0.168]), 'alpha': array([0.001])}",0.39,,53.66136926745648,-5.648097863272288,-9.206639342802255,0.023830962553742417,,-2.7853781699914126,0.0
BAPI.JK,0.0,"{'beta': array([0.]), 'alpha': array([0.])}",,,,,0.0,0.0,,,0.0
BATA.JK,-0.0022088205892784028,"{'beta': array([-0.115]), 'alpha': array([-0.002])}",-1.2,,4.811835147682097,-136.73925384615384,-0.7678848395511659,0.27122276061447753,,-37.19284339270089,398.1164761904762
BAUT.JK,-0.001508826132069295,,-0.71,,,,0.0,0.0,,,0.54
BAYU.JK,0.0007295324879979765,"{'beta': array([0.071]), 'alpha': array([0.001])}",0.4,,,,0.0,0.0,,,10.830324909747292
BBCA.JK,0.0007017374953967918,"{'beta': array([-0.008]), 'alpha': array([0.001])}",0.8,5,-4.284418552858065,220.0860563092296,46.11832376031514,0.03749632728183334,53652612000000.0,14.697534662742962,10.333990147783252
BBHI.JK,0.006747042645440072,"{'beta': array([-0.071]), 'alpha': array([0.007])}",1.66,5,-81.16821230263353,1.7032158553038257,689.8714548370614,1.835173068293649,-441748478930.0,10.664064609148916,0.0
BBKP.JK,1.5549713187385087e-05,"{'beta': array([-0.015]), 'alpha': array([0.])}",0.01,4,40.79691083521123,-17.330942824196452,-4.558320963918063,2.6844281150776585,-12972257000000.0,-38.54867376919682,271.47860506329107
BBLD.JK,0.0008808316913558244,"{'beta': array([0.099]), 'alpha': array([0.001])}",0.41,,27.035665305553184,12.184348511239705,46.781327657707074,3.2549972491759442,,1.659115579619015,66.0686398245614
BBMD.JK,0.0007082903701911505,"{'beta': array([-0.074]), 'alpha': array([0.001])}",0.54,5,-9.516768194060026,80.93530095302403,25.32887350588649,0.04976813177190531,1902059574379.0,8.129477885729228,8.493170731707318
